platform,name,version,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
go,github.com/golang/protobuf,v1.4.3,0.947341345,Not Participating,2022-10-24T19:56:09.698041,https://libraries.io/api/go/github.com%2Fgolang%2Fprotobuf,200,26,25929,17788,https://github.com/golang/protobuf,200,2022-10-24T19:56:10.315153,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/golang/protobuf,200,,,,2022-10-24T19:56:25.846380,5.9,2022-10-24T19:56:31.235465,0.57958,14530
maven,commons-httpclient:commons-httpclient,3.1,0.940527852,Not Participating,2022-10-25T08:21:09.430797,https://libraries.io/api/maven/commons-httpclient:commons-httpclient,200,18,1429,13808,http://svn.apache.org/repos/asf/jakarta/httpcomponents/oac.hc3x/trunk,404,,,,,,,,,,,
maven,org.apache.commons:commons-compress,1.2,0.93815209,Not Participating,2022-10-24T20:16:15.160876,https://libraries.io/api/maven/org.apache.commons:commons-compress,200,16,1534,5410,https://github.com/apache/commons-compress,200,2022-10-24T20:16:15.932749,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/commons-compress,200,,,,2022-10-24T20:16:29.981280,6.8,2022-10-24T20:16:35.863018,0.6371,3907
maven,org.junit.jupiter:junit-jupiter-engine,5.7.0,0.92225576,Not Participating,2022-10-24T20:16:14.717586,https://libraries.io/api/maven/org.junit.jupiter:junit-jupiter-engine,200,27,3591,6723,https://github.com/junit-team/junit5,200,2022-10-24T20:01:27.925001,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/junit-team/junit5,200,,,,2022-10-24T20:01:43.895367,6.5,2022-10-24T20:01:51.400388,0.7323,15805
pypi,python-editor,1.0.4,0.919680989,Not Participating,2022-10-24T22:12:22.440185,https://libraries.io/api/pypi/python-editor,404,,,,,,,,,,,,,,,,
maven,org.json:json,20190722,0.912678721,Not Participating,2022-10-24T20:15:31.318518,https://libraries.io/api/maven/org.json:json,200,24,2359,29200,https://github.com/douglascrockford/JSON-java,200,2022-10-24T20:15:32.018246,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/douglascrockford/JSON-java,200,,,,2022-10-24T20:15:48.364102,7.2,2022-10-24T20:15:52.697268,0.58806,1033
go,github.com/gorilla/mux,v1.7.4,0.910853221,Not Participating,2022-10-24T19:48:21.135897,https://libraries.io/api/go/github.com%2Fgorilla%2Fmux,200,26,9254,10819,https://github.com/gorilla/mux,200,2022-10-24T19:48:21.764280,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/gorilla/mux,200,,,,2022-10-24T19:48:38.044959,5.6,2022-10-24T19:48:45.609922,0.56839,8644
maven,org.skyscreamer:jsonassert,1.5.0,0.907640391,Not Participating,2022-10-24T22:07:21.245550,https://libraries.io/api/maven/org.skyscreamer:jsonassert,200,23,1014,1892,https://github.com/skyscreamer/JSONassert,200,2022-10-24T22:07:22.053071,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/skyscreamer/JSONassert,200,,,,2022-10-25T10:56:58.539439,5.0,2022-10-24T22:07:35.128293,0.44575,770
pypi,python3-openid,3.1.0,0.905532036,Not Participating,2022-10-24T21:28:09.731104,https://libraries.io/api/pypi/python3-openid,404,,,,,,,,,,,,,,,,
maven,com.fasterxml.jackson.core:jackson-databind,2.11.4,0.90299884,Not Participating,2022-10-24T19:31:51.877535,https://libraries.io/api/maven/com.fasterxml.jackson.core:jackson-databind,200,27,10108,77047,https://github.com/FasterXML/jackson-databind,200,2022-10-24T19:31:52.585238,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/FasterXML/jackson-databind,200,,,,2022-10-24T19:32:51.004764,7.8,2022-10-24T19:33:07.529780,0.73456,4367
nuget,System.Net.Http,4.3.4,0.901470438,Not Participating,2022-10-24T23:08:26.324955,https://libraries.io/api/nuget/system.net.http,200,0,2,0,,,,,,,,,,,,,
