,platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count,appendix,version
10,npm,moment,3.2911937,,2022-10-24 11:55:37.566167,https://libraries.io/api/npm/moment,200.0,33.0,50422.0,238544.0,https://github.com/moment/moment,200.0,2022-10-24 11:55:38.027063,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/moment/moment,200.0,,,,2022-10-24 12:39:37.610459,5.0,2022-10-24 12:39:45.814849,0.64733,9306.0,A,
11,npm,chalk,3.0226164,,2022-10-24 11:55:40.476261,https://libraries.io/api/npm/chalk,200.0,32.0,99438.0,883363.0,https://github.com/chalk/chalk,200.0,2022-10-24 11:55:41.108168,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/chalk/chalk,200.0,,,,2022-10-24 12:40:01.498347,5.4,2022-10-24 12:40:09.085581,0.62156,4140.0,A,
12,npm,supports-color,2.9530838,,2022-10-24 11:55:43.532485,https://libraries.io/api/npm/supports-color,200.0,26.0,1723.0,671431.0,https://github.com/chalk/supports-color,200.0,2022-10-24 11:55:44.039880,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/chalk/supports-color,200.0,,,,2022-10-24 12:40:24.774787,4.8,2022-10-24 12:40:36.400427,0.50311,243.0,A,
13,npm,readable-stream,2.8921704,,2022-10-24 11:55:46.557574,https://libraries.io/api/npm/readable-stream,200.0,29.0,3838.0,684724.0,https://github.com/nodejs/readable-stream,200.0,2022-10-24 11:55:47.181964,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/nodejs/readable-stream,200.0,,,,2022-10-24 12:40:53.047824,6.3,2022-10-24 12:40:58.446976,0.53675,407.0,A,
14,npm,ms,2.8817534,,2022-10-24 11:55:49.566227,https://libraries.io/api/npm/ms,200.0,27.0,2994.0,781914.0,https://github.com/vercel/ms,200.0,2022-10-24 11:55:50.016627,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/vercel/ms,200.0,,,,2022-10-24 12:41:15.436781,5.4,2022-10-24 12:41:20.737193,0.44311,120.0,A,
15,npm,core-js,2.7777371,,2022-10-24 11:55:52.555490,https://libraries.io/api/npm/core-js,200.0,32.0,55422.0,665527.0,https://github.com/zloirock/core-js,200.0,2022-10-24 11:55:53.266816,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/zloirock/core-js,200.0,,,,2022-10-24 12:41:35.533592,6.2,2022-10-24 12:41:39.523754,0.72368,15748.0,A,
16,npm,strip-ansi,2.6558828,,2022-10-24 11:55:55.682488,https://libraries.io/api/npm/strip-ansi,200.0,27.0,3884.0,666937.0,https://github.com/chalk/strip-ansi,200.0,2022-10-24 11:55:56.344894,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/chalk/strip-ansi,200.0,,,,2022-10-24 12:41:47.250549,4.4,2022-10-24 12:41:50.304241,0.31087,199.0,A,
17,npm,kind-of,2.650559,,2022-10-24 11:55:58.759367,https://libraries.io/api/npm/kind-of,200.0,12.0,1.0,0.0,https://github.com/jonschlinkert/kind-of,200.0,2022-10-24 11:55:59.370646,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jonschlinkert/kind-of,200.0,,,,2022-10-24 12:41:57.431578,4.7,2022-10-24 12:42:03.126496,0.34483,748.0,A,
18,npm,body-parser,2.6438684,,2022-10-24 11:56:01.819166,https://libraries.io/api/npm/body-parser,200.0,13.0,0.0,0.0,https://github.com/expressjs/body-parser,200.0,2022-10-24 11:56:02.446780,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/expressjs/body-parser,200.0,,,,2022-10-24 12:42:15.754901,5.2,2022-10-24 12:42:19.823565,0.52677,1357.0,A,
19,npm,glob,2.3374043,,2022-10-24 11:56:04.876632,https://libraries.io/api/npm/glob,200.0,31.0,35148.0,810467.0,https://github.com/isaacs/node-glob,200.0,2022-10-24 11:56:05.572569,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/isaacs/node-glob,200.0,,,,2022-10-24 12:42:35.744566,4.0,2022-10-24 12:42:39.671995,0.51096,2126.0,A,
20,npm,ansi-regex,2.3271863,,2022-10-24 11:56:07.983598,https://libraries.io/api/npm/ansi-regex,200.0,26.0,690.0,893943.0,https://github.com/chalk/ansi-regex,200.0,2022-10-24 11:56:08.604708,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/chalk/ansi-regex,200.0,,,,2022-10-24 12:42:48.413357,4.3,2022-10-24 12:42:53.788948,0.39403,5763.0,A,
21,npm,source-map,2.2186222,,2022-10-24 11:56:11.098597,https://libraries.io/api/npm/source-map,200.0,12.0,0.0,0.0,https://github.com/mozilla/source-map,200.0,2022-10-24 11:56:11.792601,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/mozilla/source-map,200.0,,,,2022-10-24 12:43:10.180203,5.1,2022-10-24 12:43:17.945419,0.57175,823.0,A,
22,npm,commander,2.206508,,2022-10-24 11:56:14.254668,https://libraries.io/api/npm/commander,200.0,32.0,62327.0,764513.0,https://github.com/tj/commander.js,200.0,2022-10-24 11:56:14.971108,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/tj/commander.js,200.0,,,,2022-10-24 12:43:33.934767,8.0,2022-10-24 12:43:48.198593,0.67971,3888.0,A,
23,npm,@types/node,2.1903899,,2022-10-24 11:56:17.944233,https://libraries.io/api/npm/%40types%2Fnode,200.0,34.0,189269.0,411521.0,https://github.com/DefinitelyTyped/DefinitelyTyped,200.0,2022-10-24 11:56:18.670612,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/DefinitelyTyped/DefinitelyTyped,200.0,,,,2022-10-24 12:44:37.793661,7.3,2022-10-24 12:44:42.301256,0.91282,185972.0,A,
24,npm,request,2.1751509,,2022-10-24 11:56:21.126564,https://libraries.io/api/npm/request,200.0,26.0,58766.0,680683.0,https://github.com/request/request,200.0,2022-10-24 11:56:21.837041,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/request/request,200.0,,,,2022-10-24 12:44:59.676633,5.1,2022-10-24 12:45:04.162003,0.6047,175548.0,A,
25,npm,inherits,2.1370313,,2022-10-24 11:56:24.241389,https://libraries.io/api/npm/inherits,200.0,27.0,3164.0,835968.0,https://github.com/isaacs/inherits,200.0,2022-10-24 11:56:24.975194,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/isaacs/inherits,200.0,,,,2022-10-24 12:45:08.355511,3.7,2022-10-24 12:47:19.110053,0.273,32.0,A,
26,npm,string-width,2.1280096,,2022-10-24 11:56:27.408587,https://libraries.io/api/npm/string-width,200.0,25.0,730.0,619883.0,https://github.com/sindresorhus/string-width,200.0,2022-10-24 11:56:28.106469,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/string-width,200.0,,,,2022-10-24 12:47:28.637426,4.6,2022-10-24 12:47:34.378830,0.38043,143.0,A,
27,npm,minimist,2.1037283,,2022-10-24 11:56:30.495439,https://libraries.io/api/npm/minimist,200.0,27.0,26469.0,758604.0,https://github.com/minimistjs/minimist,200.0,2022-10-24 11:56:34.043551,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/minimistjs/minimist,200.0,,,,2022-10-24 12:47:43.770432,5.2,2022-10-24 12:47:47.523290,0.56621,914.0,A,
28,npm,react-router-dom,2.0547888,,2022-10-24 11:56:36.477631,https://libraries.io/api/npm/react-router-dom,200.0,31.0,18235.0,103980.0,https://github.com/remix-run/react-router,200.0,2022-10-24 11:56:37.021395,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/remix-run/react-router,200.0,,,,2022-10-24 12:48:05.027531,4.7,2022-10-24 12:48:09.788620,0.79398,3179.0,A,
29,npm,dotenv,1.9759442,,2022-10-24 11:56:39.503543,https://libraries.io/api/npm/dotenv,200.0,31.0,33405.0,285244.0,https://github.com/motdotla/dotenv,200.0,2022-10-24 11:56:40.141945,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/motdotla/dotenv,200.0,,,,2022-10-24 12:48:25.761364,5.7,2022-10-24 12:48:31.243564,0.64601,9350.0,A,
30,npm,yallist,1.9604714,,2022-10-24 11:56:42.570802,https://libraries.io/api/npm/yallist,200.0,22.0,250.0,546391.0,https://github.com/isaacs/yallist,200.0,2022-10-24 11:56:43.188982,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/isaacs/yallist,200.0,,,,2022-10-24 12:48:35.557152,3.7,2022-10-24 12:48:39.750037,0.21698,45.0,A,
31,npm,camelcase,1.8870902,,2022-10-24 12:48:40.221138,https://libraries.io/api/npm/camelcase,404.0,,,,,,,,,,,,,,,,,A,
32,npm,prop-types,1.8662841,81.0,2022-10-24 12:48:40.415182,https://libraries.io/api/npm/prop-types,404.0,,,,,,,,,,,,,,,,,A,
33,npm,cookie-parser,1.8252345,,2022-10-24 12:48:40.633161,https://libraries.io/api/npm/cookie-parser,404.0,,,,,,,,,,,,,,,,,A,
34,npm,rimraf,1.8151145,,2022-10-24 12:48:40.837552,https://libraries.io/api/npm/rimraf,200.0,31.0,112943.0,727407.0,https://github.com/isaacs/rimraf,200.0,2022-10-24 12:48:41.550355,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/isaacs/rimraf,200.0,,,,2022-10-24 12:48:53.567610,3.7,2022-10-24 12:49:00.690808,0.49921,7109.0,A,
35,npm,ansi-styles,1.7728769,,2022-10-24 12:49:00.882008,https://libraries.io/api/npm/ansi-styles,200.0,4.0,0.0,0.0,https://github.com/chalk/ansi-styles,200.0,2022-10-24 12:49:01.395152,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/chalk/ansi-styles,200.0,,,,2022-10-24 12:49:13.368357,4.9,2022-10-24 12:49:17.442603,0.45442,76.0,A,
36,npm,safe-buffer,1.7708197,,2022-10-24 12:49:17.635321,https://libraries.io/api/npm/safe-buffer,200.0,26.0,2221.0,716558.0,https://github.com/feross/safe-buffer,200.0,2022-10-24 12:49:18.263718,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/feross/safe-buffer,200.0,,,,2022-10-24 12:49:25.651612,5.2,2022-10-24 12:49:38.483869,0.32706,198.0,A,
37,npm,jquery-ui,1.7707266,,2022-10-24 12:49:38.718036,https://libraries.io/api/npm/jquery-ui,404.0,,,,,,,,,,,,,,,,,A,
38,npm,qs,1.733941,,2022-10-24 12:49:39.614291,https://libraries.io/api/npm/qs,200.0,30.0,9824.0,690929.0,https://github.com/ljharb/qs,200.0,2022-10-24 12:49:40.309883,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/ljharb/qs,200.0,,,,2022-10-24 12:49:56.017308,5.6,2022-10-24 12:50:00.143503,0.58655,1282.0,A,
39,npm,string_decoder,1.7124275,,2022-10-24 12:50:00.375630,https://libraries.io/api/npm/string_decoder,200.0,24.0,527.0,665041.0,https://github.com/nodejs/string_decoder,200.0,2022-10-24 12:50:01.016883,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/nodejs/string_decoder,200.0,,,,2022-10-24 12:50:10.771374,5.3,2022-10-24 12:50:16.296721,0.24784,11.0,A,
40,npm,punycode,1.697178,,2022-10-24 12:50:16.480087,https://libraries.io/api/npm/punycode,200.0,26.0,703.0,607815.0,https://github.com/bestiejs/punycode.js,200.0,2022-10-24 12:50:17.135720,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/bestiejs/punycode.js,200.0,,,,2022-10-24 12:50:25.588405,4.8,2022-10-24 12:50:39.995530,0.2706,2.0,A,
41,npm,tslib,1.6827337,,2022-10-24 12:50:40.198272,https://libraries.io/api/npm/tslib,200.0,31.0,66096.0,350700.0,https://github.com/Microsoft/tslib,200.0,2022-10-24 12:50:40.809335,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/Microsoft/tslib,200.0,,,,2022-10-24 12:50:56.289156,5.1,2022-10-24 12:51:13.479257,0.50106,4525.0,A,
42,npm,async,1.6821413,,2022-10-24 12:51:13.707619,https://libraries.io/api/npm/async,200.0,32.0,35226.0,846462.0,https://github.com/caolan/async,200.0,2022-10-24 12:51:14.371151,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/caolan/async,200.0,,,,2022-10-24 12:51:32.518994,5.1,2022-10-24 12:51:36.457106,0.64275,18535.0,A,
43,npm,color-name,1.653674,,2022-10-24 12:51:36.681862,https://libraries.io/api/npm/color-name,200.0,11.0,0.0,0.0,https://github.com/colorjs/color-name,200.0,2022-10-24 12:51:37.120050,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/colorjs/color-name,200.0,,,,2022-10-24 12:51:43.385660,4.6,2022-10-24 12:51:48.783366,0.1844,7.0,A,
44,npm,find-up,1.5761666,,2022-10-24 12:51:48.964658,https://libraries.io/api/npm/find-up,200.0,12.0,0.0,0.0,https://github.com/sindresorhus/find-up,200.0,2022-10-24 12:51:49.667296,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/find-up,200.0,,,,2022-10-24 12:51:59.530220,4.6,2022-10-24 12:52:07.217094,0.4652,80.0,A,
45,npm,rxjs,1.5585039,,2022-10-24 12:52:07.460610,https://libraries.io/api/npm/rxjs,200.0,33.0,38690.0,404175.0,https://github.com/reactivex/rxjs,200.0,2022-10-24 12:52:08.193648,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/reactivex/rxjs,200.0,,,,2022-10-24 12:52:24.525446,6.3,2022-10-24 12:52:28.564125,0.69198,5722.0,A,
46,npm,ajv,1.5517632,99.0,2022-10-24 12:52:28.853996,https://libraries.io/api/npm/ajv,200.0,29.0,8801.0,801606.0,https://github.com/ajv-validator/ajv,200.0,2022-10-24 12:52:29.544442,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/ajv-validator/ajv,200.0,2020-06-10 07:49:15.976000+00:00,2020-06-10 08:14:52.283000+00:00,99.0,2022-10-24 12:52:44.902703,6.4,2022-10-24 12:52:49.392151,0.6442,8717.0,A,
47,npm,cors,1.5441917,,2022-10-24 12:52:49.649985,https://libraries.io/api/npm/cors,200.0,28.0,9212.0,107717.0,https://github.com/expressjs/cors,200.0,2022-10-24 12:52:50.282699,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/expressjs/cors,200.0,,,,2022-10-24 12:53:06.169030,4.4,2022-10-24 12:53:16.324775,0.46448,180.0,A,
48,npm,is-fullwidth-code-point,1.5140166,,2022-10-24 12:53:16.544351,https://libraries.io/api/npm/is-fullwidth-code-point,200.0,25.0,347.0,671079.0,https://github.com/sindresorhus/is-fullwidth-code-point,200.0,2022-10-24 12:53:17.195296,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/is-fullwidth-code-point,200.0,,,,2022-10-24 12:53:22.811919,4.4,2022-10-24 12:53:26.125816,0.21201,7.0,A,
49,npm,p-locate,1.5094235,,2022-10-24 12:53:26.311836,https://libraries.io/api/npm/p-locate,200.0,23.0,284.0,503219.0,https://github.com/sindresorhus/p-locate,200.0,2022-10-24 12:53:35.565786,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/p-locate,200.0,,,,2022-10-24 12:53:40.670838,4.4,2022-10-24 12:55:52.008174,0.22439,13.0,A,
50,npm,locate-path,1.5067476,,2022-10-24 12:55:52.412050,https://libraries.io/api/npm/locate-path,200.0,26.0,416.0,512968.0,https://github.com/sindresorhus/locate-path,200.0,2022-10-24 12:55:53.193483,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/locate-path,200.0,,,,2022-10-24 12:55:59.729678,4.5,2022-10-24 12:56:02.830227,0.27076,17.0,A,
51,npm,fs-extra,1.5016716,,2022-10-24 12:56:03.023760,https://libraries.io/api/npm/fs-extra,404.0,,,,,,,,,,,,,,,,,A,
52,npm,isarray,1.483127,,2022-10-24 12:56:03.212389,https://libraries.io/api/npm/isarray,200.0,25.0,770.0,736971.0,https://github.com/juliangruber/isarray,200.0,2022-10-24 12:56:03.829273,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/juliangruber/isarray,200.0,2022-07-23 07:50:28.180000+00:00,2022-07-23 08:01:33.635000+00:00,45.0,2022-10-24 12:56:14.953054,8.0,2022-10-24 12:56:19.434306,0.43911,10.0,A,
53,npm,acorn,1.4503543,,2022-10-24 12:56:19.674617,https://libraries.io/api/npm/acorn,200.0,30.0,4968.0,763273.0,https://github.com/acornjs/acorn,200.0,2022-10-24 12:56:20.364999,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/acornjs/acorn,200.0,,,,2022-10-24 12:56:35.940549,5.5,2022-10-24 12:56:39.983639,0.69305,26744.0,A,
54,npm,jsonwebtoken,1.4333018,,2022-10-24 12:56:40.180514,https://libraries.io/api/npm/jsonwebtoken,200.0,26.0,10565.0,70644.0,https://github.com/auth0/node-jsonwebtoken,200.0,2022-10-24 12:56:40.921986,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/auth0/node-jsonwebtoken,200.0,,,,2022-10-24 12:56:57.962023,5.7,2022-10-24 12:57:06.260236,0.46351,260.0,A,
55,npm,redux,1.4027838,,2022-10-24 12:57:06.458817,https://libraries.io/api/npm/redux,200.0,31.0,19670.0,160941.0,https://github.com/reduxjs/redux,200.0,2022-10-24 12:57:07.074214,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/reduxjs/redux,200.0,,,,2022-10-24 12:57:23.036263,5.4,2022-10-24 12:57:27.176754,0.69675,3194.0,A,
56,npm,reflect-metadata,1.395317,,2022-10-24 12:57:27.363185,https://libraries.io/api/npm/reflect-metadata,200.0,25.0,12928.0,106927.0,https://github.com/rbuckton/reflect-metadata,200.0,2022-10-24 12:57:28.010471,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/rbuckton/reflect-metadata,200.0,,,,2022-10-24 12:57:33.822454,4.4,2022-10-24 12:57:39.340565,0.2663,43.0,A,
57,npm,mkdirp,1.3904207,,2022-10-24 12:57:39.529983,https://libraries.io/api/npm/mkdirp,200.0,26.0,31619.0,741610.0,https://github.com/substack/node-mkdirp,404.0,,,,,,,,,,,,A,
58,npm,define-property,1.2827952,,2022-10-24 12:57:39.725558,https://libraries.io/api/npm/define-property,200.0,22.0,403.0,481914.0,https://github.com/jonschlinkert/define-property,200.0,2022-10-24 12:57:40.425380,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jonschlinkert/define-property,200.0,,,,2022-10-24 12:57:45.838297,4.6,2022-10-24 12:57:55.633485,0.14422,2.0,A,
59,npm,passport,1.280078,,2022-10-24 12:57:55.830343,https://libraries.io/api/npm/passport,200.0,27.0,3916.0,81272.0,https://github.com/jaredhanson/passport,200.0,2022-10-24 12:57:56.514518,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jaredhanson/passport,200.0,,,,2022-10-24 12:58:12.876337,4.4,2022-10-24 12:58:16.917221,0.54835,2969.0,A,
60,npm,pify,1.2657952,,2022-10-24 12:58:17.129424,https://libraries.io/api/npm/pify,200.0,29.0,3174.0,618260.0,https://github.com/sindresorhus/pify,200.0,2022-10-24 12:58:17.778416,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/pify,200.0,,,,2022-10-24 12:58:27.829569,4.7,2022-10-24 12:58:39.834952,0.44544,58.0,A,
61,npm,bootstrap,1.250576,84.0,2022-10-24 12:58:40.073393,https://libraries.io/api/npm/bootstrap,200.0,31.0,15451.0,187859.0,https://github.com/twbs/bootstrap,200.0,2022-10-24 12:58:40.681592,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/twbs/bootstrap,200.0,2019-06-26 10:00:26.869000+00:00,2019-06-26 10:26:11.005000+00:00,84.0,2022-10-24 12:58:58.984749,7.3,2022-10-24 12:59:03.474256,0.82711,140299.0,A,
62,npm,regenerator-runtime,1.2461404,,2022-10-24 12:59:03.662642,https://libraries.io/api/npm/regenerator-runtime,200.0,29.0,10034.0,482983.0,https://github.com/facebook/regenerator,200.0,2022-10-24 12:59:04.321655,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/facebook/regenerator,200.0,,,,2022-10-24 12:59:20.287648,6.3,2022-10-24 12:59:24.251040,0.61679,1271.0,A,
63,npm,lru-cache,1.2317431,,2022-10-24 12:59:24.487822,https://libraries.io/api/npm/lru-cache,200.0,14.0,0.0,0.0,https://github.com/isaacs/node-lru-cache,200.0,2022-10-24 12:59:25.166266,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/isaacs/node-lru-cache,200.0,,,,2022-10-24 12:59:41.171368,4.5,2022-10-24 12:59:48.771996,0.56319,566.0,A,
64,npm,resolve,1.2019322,,2022-10-24 12:59:48.986502,https://libraries.io/api/npm/resolve,200.0,29.0,8238.0,573178.0,https://github.com/browserify/resolve,200.0,2022-10-24 12:59:49.625963,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/browserify/resolve,200.0,,,,2022-10-24 13:00:06.237424,4.9,2022-10-24 13:00:13.974381,0.5802,1149.0,A,
65,npm,has-flag,1.2012789,,2022-10-24 13:00:14.194010,https://libraries.io/api/npm/has-flag,200.0,25.0,495.0,684091.0,https://github.com/sindresorhus/has-flag,200.0,2022-10-24 13:00:14.802322,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/sindresorhus/has-flag,200.0,,,,2022-10-24 13:00:21.055378,4.4,2022-10-24 13:00:28.140625,0.22328,5.0,A,
66,npm,underscore-stay,1.1999784,,2022-10-24 13:00:28.318535,https://libraries.io/api/npm/underscore-stay,200.0,13.0,1.0,0.0,https://github.com/jashkenas/underscore,200.0,2022-10-24 13:00:28.973364,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jashkenas/underscore,200.0,,,,2022-10-24 13:00:45.670434,6.4,2022-10-24 13:00:50.381326,0.67703,5271.0,A,
67,npm,node-fetch,1.186729,,2022-10-24 13:00:50.603512,https://libraries.io/api/npm/node-fetch,200.0,29.0,25410.0,219668.0,https://github.com/node-fetch/node-fetch,200.0,2022-10-24 13:00:51.207010,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/node-fetch/node-fetch,200.0,,,,2022-10-24 13:01:08.952191,7.3,2022-10-24 13:01:22.910114,0.64552,6612.0,A,
