platform,name,zscore_combined,openssf_badge_tiered_percentage,lio_timestamp,lio_url,lio_rc,lio_rank,lio_dependents_count,lio_dependent_repos_count,lio_repo_url,lio_repo_url_rc,cii_timestamp,cii_url,cii_rc,cii_created_at,cii_updated_at,cii_tiered_percentage,scorecard_v480_timestamp,scorecard_v480_score,criticality_timestamp,criticality_score,criticality_dependents_count
maven,org.dom4j:dom4j,0.25662826,Not Participating,2022-10-24T21:32:11.013421,https://libraries.io/api/maven/org.dom4j:dom4j,200,21,597,638,https://github.com/dom4j/dom4j,200,2022-10-24T21:32:11.810424,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/dom4j/dom4j,200,,,,2022-10-25T10:18:41.709761,4.8,2022-10-24T21:32:20.438875,0.25084,931
pypi,selenium,0.255961951,Not Participating,2022-10-24T21:32:20.719300,https://libraries.io/api/pypi/selenium,200,25,1860,14155,,,,,,,,,,,,,
nuget,microsoft.extensions.dependencyinjection,0.253794619,Not Participating,2022-10-24T21:32:20.913570,https://libraries.io/api/nuget/microsoft.extensions.dependencyinjection,200,6,3,0,,,,,,,,,,,,,
pypi,sphinx,0.25170804,Not Participating,2022-10-24T21:32:21.336543,https://libraries.io/api/pypi/sphinx,200,29,7693,52268,,,,,,,,,,,,,
maven,jakarta.validation:jakarta.validation-api,0.25100845,Not Participating,2022-10-24T21:32:21.540129,https://libraries.io/api/maven/jakarta.validation:jakarta.validation-api,200,17,184,28,https://github.com/eclipse-ee4j/beanvalidation-api,200,2022-10-24T21:32:22.160566,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/eclipse-ee4j/beanvalidation-api,200,,,,2022-10-25T09:53:41.593513,5.5,2022-10-24T22:03:28.102335,0.33163,0
maven,org.hdrhistogram:hdrhistogram,0.249470406,Not Participating,2022-10-24T22:03:28.587179,https://libraries.io/api/maven/org.hdrhistogram:hdrhistogram,200,22,336,657,https://github.com/HdrHistogram/HdrHistogram,200,2022-10-24T22:03:29.502064,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/HdrHistogram/HdrHistogram,200,,,,2022-10-25T09:49:42.973641,4.3,2022-10-24T22:03:38.092864,0.42202,695
maven,net.minidev:accessors-smart,0.248463201,Not Participating,2022-10-24T22:03:38.285330,https://libraries.io/api/maven/net.minidev:accessors-smart,200,15,27,79,https://github.com/netplex/json-smart-v2,200,2022-10-24T21:06:02.184197,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/netplex/json-smart-v2,200,,,,2022-10-24T21:06:16.237787,6.0,2022-10-24T21:06:19.683520,0.43233,176
nuget,system.text.regularexpressions,0.247970899,Not Participating,2022-10-24T22:03:38.631487,https://libraries.io/api/nuget/system.text.regularexpressions,200,16,1026,5289,,,,,,,,,,,,,
maven,org.apache.maven:maven-aether-provider,0.247162248,Not Participating,2022-10-24T22:03:38.830458,https://libraries.io/api/maven/org.apache.maven:maven-aether-provider,200,12,308,983,https://github.com/apache/maven,200,2022-10-24T20:04:48.757492,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/apache/maven,200,,,,2022-10-24T20:05:03.860078,5.5,2022-10-24T20:05:08.239945,0.72962,47717
pypi,jedi,0.247162248,Not Participating,2022-10-24T22:03:39.038971,https://libraries.io/api/pypi/jedi,200,19,356,7953,https://github.com/davidhalter/jedi,200,2022-10-24T22:03:39.741805,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/davidhalter/jedi,200,,,,2022-10-25T10:50:11.266562,4.4,2022-10-24T22:03:46.082005,0.62231,1660
maven,io.netty:netty-resolver,0.246182246,Not Participating,2022-10-24T22:03:46.336788,https://libraries.io/api/maven/io.netty:netty-resolver,200,21,332,188,https://github.com/netty/netty,200,2022-10-24T20:49:33.325634,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/netty/netty,200,,,,2022-10-24T20:49:51.592680,6.3,2022-10-24T20:49:56.297557,0.81857,39248
maven,org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec,0.241379362,Not Participating,2022-10-24T22:03:46.564726,https://libraries.io/api/maven/org.jboss.spec.javax.transaction:jboss-transaction-api_1.2_spec,200,15,106,902,https://github.com/jboss/jboss-jakarta-jta-api,200,2022-10-24T22:03:47.301136,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/jboss/jboss-jakarta-jta-api,200,,,,2022-10-25T10:50:21.494048,4.3,2022-10-24T22:03:53.783663,0.13252,0
maven,com.h2database:h2,0.240498338,Not Participating,2022-10-24T22:03:54.070565,https://libraries.io/api/maven/com.h2database:h2,200,28,3490,50398,https://github.com/h2database/h2database,200,2022-10-24T22:03:54.795559,https://bestpractices.coreinfrastructure.org/en/projects.json?url=https%3A//github.com/h2database/h2database,200,,,,2022-10-25T10:50:41.881561,4.7,2022-10-24T22:03:59.932236,0.68381,4669
